"Bomet 235,193","120,290 114,903","2,086 1,045 1,041","3,361 1,767 1,594","21,397 11,024 10,373"
"Kakamega 516,466","259,723 256,743","6,469 3,157 3,312","12,619 6,673 5,946","36,345 18,446 17,899"
"Vihiga 155,963","78,777 77,186","2,726 1,376 1,350","4,461 2,361 2,100","13,147 6,696 6,451"
"Bungoma 462,303","234,826 227,477","4,670 2,265 2,405","9,346 4,924 4,422","29,318 14,979 14,339"
"Busia 243,907","121,584 122,323","3,380 1,626 1,754","5,375 2,749 2,626","18,959 9,722 9,237"
"Siaya 261,331","132,130 129,201","7,820 4,007 3,813","8,554 4,481 4,073","34,973 18,183 16,790"
"Kisumu 278,669","139,752 138,917","7,778 3,891 3,887","7,687 3,987 3,700","37,217 18,958 18,259"
"Homabay 301,323","151,431 149,892","8,846 4,373 4,473","9,194 4,795 4,399","45,714 23,482 22,232"
"Migori 302,425","151,510 150,915","7,131 3,593 3,538","7,755 3,975 3,780","42,092 21,514 20,578"
"Kisii 309,637","156,763 152,874","4,903 2,434 2,469","6,411 3,433 2,978","33,387 17,168 16,219"
"Nyamira 144,916","73,981 70,935","2,535 1,259 1,276","2,797 1,517 1,280","15,152 7,852 7,300"
"Nairobi City 651,784","320,455 331,329","6,538 2,925 3,613","10,835 5,255 5,580","41,853 19,947 21,906"
"",,,Number of Partial Orphans,Number of Partial Orphans
Residence/,Secondary School Enrolment,Number of Orphans,(Father Alive),(Mother Alive)
County,Total Male Female,Total Male Female,Total Male Female,Total Male Female
KENYA,"3,470,895  1,746,881  1,724,014","90,303   48,442   41,861","108,293 56,554   51,739","423,897  216,822  207,075"
Rural,"2,455,182  1,251,658  1,203,524","60,984   33,779   27,205","74,973 40,097   34,876","304,322  158,853  145,469"
Urban,"1,015,713 495,223 520,490","29,319   14,663   14,656","33,320 16,457   16,863","119,575 57,969 61,606"
Mombasa,"70,018 35,322 34,696","2,016 1,039 977","2,506 1,335 1,171","7,640 3,828 3,812"
Kwale,"37,439 19,741 17,698",770 420 350,"1,410 809 601","4,176 2,284 1,892"
Kilifi,"84,679 44,545 40,134","1,469 837 632","2,669 1,477 1,192","10,297 5,589 4,708"
Tana River,"12,560 7,369 5,191",291 198 93,566 338 228,"1,477 898 579"
Lamu,"7,716 4,157 3,559",160 98 62,284 172 112,725 387 338
Taita-Taveta,"23,264 11,483 11,781",647 339 308,754 379 375,"2,660 1,325 1,335"
Garissa,"28,540 18,468 10,072","1,402 977 425","1,455 1,010 445","2,881 1,836 1,045"
Wajir,"26,201 16,410 9,791","1,045 679 366","1,209 771 438","1,833 1,120 713"
Mandera,"31,212 19,107 12,105",699 483 216,"1,241 776 465","2,280 1,397 883"
Marsabit,"16,886 9,538 7,348",587 350 237,664 399 265,"2,607 1,495 1,112"
Isiolo,"13,072 7,040 6,032",422 242 180,541 291 250,"1,665 882 783"
Meru,"109,429 51,581 57,848","1,685 851 834","2,888 1,453 1,435","10,988 5,131 5,857"
Tharaka-Nithi,"32,254 16,023 16,231",532 290 242,905 453 452,"3,122 1,580 1,542"
Embu,"47,739 23,207 24,532",967 492 475,"1,143 588 555","5,162 2,551 2,611"
Kitui,"92,015 45,257 46,758","2,360 1,273 1,087","2,322 1,170 1,152","10,626 5,368 5,258"
Machakos,"108,967 53,884 55,083","3,071 1,579 1,492","2,881 1,451 1,430","12,232 6,183 6,049"
Makueni,"90,940 44,982 45,958","2,159 1,098 1,061","2,416 1,210 1,206","10,249 5,150 5,099"
Nyandarua,"62,184 31,187 30,997","1,219 647 572","1,408 709 699","6,977 3,570 3,407"
Nyeri,"64,005 32,532 31,473","1,439 730 709","1,637 866 771","7,707 3,935 3,772"
Kirinyaga,"46,691 23,691 23,000",777 394 383,"1,094 587 507","4,644 2,427 2,217"
Murang'a,"86,074 44,082 41,992","1,748 915 833","2,142 1,116 1,026","10,021 5,257 4,764"
Kiambu,"171,109 83,048 88,061","3,719 1,790 1,929","4,626 2,194 2,432","19,037 9,318 9,719"
Turkana,"30,573 18,496 12,077","2,118 1,466 652","1,364 824 540","5,456 3,458 1,998"
West Pokot,"37,434 20,007 17,427",555 339 216,"1,151 637 514","3,569 2,010 1,559"
Samburu,"13,056 7,689 5,367",452 290 162,516 303 213,"2,152 1,291 861"
Trans Nzoia,"87,205 43,541 43,664","1,611 870 741","2,570 1,343 1,227","8,859 4,493 4,366"
Uasin Gishu,"101,852 49,798 52,054","1,829 877 952","2,757 1,362 1,395","10,692 5,230 5,462"
Elgeyo-Marakwet,"39,569 19,585 19,984",465 258 207,"1,176 629 547","3,384 1,701 1,683"
Nandi,"77,862 38,547 39,315","1,281 683 598","2,001 1,046 955","8,667 4,268 4,399"
Baringo,"50,124 25,517 24,607",790 429 361,"1,691 922 769","4,977 2,602 2,375"
Laikipia,"39,649 20,287 19,362",849 464 385,"1,047 560 487","4,536 2,349 2,187"
Nakuru,"184,758 94,070 90,688","4,370 2,356 2,014","4,870 2,522 2,348","21,519 11,253 10,266"
Narok,"67,741 36,292 31,449","1,027 587 440","1,594 912 682","8,286 4,544 3,742"
Kajiado,"67,495 33,640 33,855","1,531 773 758","1,847 899 948","7,866 3,965 3,901"
Kericho,"80,842 40,619 40,223","1,425 727 698","2,049 1,066 983","10,348 5,252 5,096"
Bomet,"79,385 40,633 38,752","1,340 731 609","1,908 995 913","9,865 5,146 4,719"
Kakamega,"152,094 73,205 78,889","3,219 1,648 1,571","5,285 2,655 2,630","16,757 8,237 8,520"
Vihiga,"49,960 23,844 26,116","1,483 732 751","2,025 1,000 1,025","6,198 2,985 3,213"
Bungoma,"149,659 73,339 76,320","2,548 1,363 1,185","4,593 2,305 2,288","14,957 7,591 7,366"
Busia,"73,647 36,712 36,935","1,702 916 786","2,319 1,229 1,090","9,176 4,709 4,467"
Siaya,"77,629 38,314 39,315","4,654 2,435 2,219","3,577 1,843 1,734","15,258 7,558 7,700"
Kisumu,"98,768 48,596 50,172","5,615 2,977 2,638","4,472 2,282 2,190","19,017 9,511 9,506"
Homabay,"98,865 51,094 47,771","5,376 3,056 2,320","4,519 2,446 2,073","20,711 11,089 9,622"
Migori,"86,765 45,119 41,646","3,890 2,249 1,641","3,419 1,815 1,604","16,056 8,569 7,487"
Kisii,"120,389 60,445 59,944","3,254 1,708 1,546","3,819 2,054 1,765","16,176 8,275 7,901"
Nyamira,"59,074 29,406 29,668","1,627 869 758","1,783 952 831","7,509 3,716 3,793"
Nairobi City,"283,506 135,432 148,074","8,108 3,918 4,190","9,180 4,399 4,781","32,900 15,509 17,391"
"",,,Total,,,Rural,,,Urban,
"",,,,,,,,,,
"",,,,Economic,,,Economic,,,Economic
"",,,Unemploy,ally,,Unemploy,ally,,Unemploy,ally
Difficulty,Sex,Total,Employed ed,Inactive,Total,Employed ed,Inactive,Total,Employed ed,Inactive
Visual,Total,"52,570","42,523 1,567","8,480","31,026","27,356 523","3,147","21,544","15,167 1,044","5,333"
"",Male,"28,569","24,090 781","3,698","18,304","16,385 311","1,608","10,265","7,705 470","2,090"
"",Female,"24,001","18,433 786","4,782","12,722","10,971 212","1,539","11,279","7,462 574","3,243"
Hearing,Total,"13,592","10,818 431","2,343","9,226","7,881 206","1,139","4,366","2,937 225","1,204"
"",Male,"8,390","6,911 261","1,218","5,907","5,135 138",634,"2,483","1,776 123",584
"",Female,"5,202","3,907 170","1,125","3,319","2,746 68",505,"1,883","1,161 102",620
Mobility,Total,"46,897","38,537 602","7,758","32,861","29,455 279","3,127","14,036","9,082 323","4,631"
"",Male,"27,580","23,183 353","4,044","20,141","18,124 178","1,839","7,439","5,059 175","2,205"
"",Female,"19,317","15,354 249","3,714","12,720","11,331 101","1,288","6,597","4,023 148","2,426"
Cognitive,Total,"16,089","13,164 365","2,560","11,923","10,548 173","1,202","4,166","2,616 192","1,358"
"",Male,"9,353","7,777 212","1,364","7,102","6,307 109",686,"2,251","1,470 103",678
"",Female,"6,736","5,387 153","1,196","4,821","4,241 64",516,"1,915","1,146 89",680
Self-care,Total,"8,965","6,596 130","2,239","6,179","5,156 60",963,"2,786","1,440 70","1,276"
"",Male,"5,796","4,415 74","1,307","4,210","3,544 42",624,"1,586",871 32,683
"",Female,"3,169","2,181 56",932,"1,969","1,612 18",339,"1,200",569 38,593
Communication,Total,"6,570","4,835 215","1,520","4,275","3,490 96",689,"2,295","1,345 119",831
"",Male,"4,146","3,159 141",846,"2,784","2,322 64",398,"1,362",837 77,448
"",Female,"2,424","1,676 74",674,"1,491","1,168 32",291,933,508 42,383
"",,,Number of PWDs By Economic Activity,Percentage Distribution of  PWDs by
"",,,Economically,Economically
Difficulty,Sex,Total,Employed Unemployed Inactive,Employed Unemployed Inactive
Visual,Total,"52,570","42,523 1,567 8,480",80.9 3.0 16.1
"",Male,"28,569","24,090 781 3,698",84.3 2.7 12.9
"",Female,"24,001","18,433 786 4,782",76.8 3.3 19.9
Hearing,Total,"13,592","10,818 431 2,343",79.6 3.2 17.2
"",Male,"8,390","6,911 261 1,218",82.4 3.1 14.5
"",Female,"5,202","3,907 170 1,125",75.1 3.3 21.6
Mobility,Total,"46,897","38,537 602 7,758",82.2 1.3 16.5
"",Male,"27,580","23,183 353 4,044",84.1 1.3 14.7
"",Female,"19,317","15,354 249 3,714",79.5 1.3 19.2
Cognitive,Total,"16,089","13,164 365 2,560",81.8 2.3 15.9
"",Male,"9,353","7,777 212 1,364",83.1 2.3 14.6
"",Female,"6,736","5,387 153 1,196",80.0 2.3 17.8
Self-care,Total,"8,965","6,596 130 2,239",73.6 1.5 25.0
"",Male,"5,796","4,415 74 1,307",76.2 1.3 22.6
"",Female,"3,169","2,181 56 932",68.8 1.8 29.4
Communication,Total,"6,570","4,835 215 1,520",73.6 3.3 23.1
"",Male,"4,146","3,159 141 846",76.2 3.4 20.4
"",Female,"2,424","1,676 74 674",69.1 3.1 27.8
